codes,day,city,name,address,startTime,isAccessible
O,Mon,Plymouth,Jordan,"Christ Church Parish Hall, 149 Court St.",7-8:30 p.m., 
OD,Mon,Plympton,Honesty,"Congregational Parish Hse., Rt. 58",NOON, 
OD,Mon,Pocasset,Hit The Deck,"Firehouse, 311 Barlows Landing Rd.",7:30-8:30 a.m., 
ODBB,Mon,Pocasset,Roots & Causes,"Baptist Ch., 292 Barlows Landing Rd.",5:30 - 6:30 p.m., 
SD,Mon,Pocasset,Young Peoples,"Firehouse Basement, Barlow's Landing Rd.",7-8 p.m., 
O,Mon,Pocasset,Joy Of Living,"Community Bldg., 298 Barlows Landing Rd.",7:30-8:30 p.m.,Handicap Yes
OD,Mon,Provincetown,How It Works,"United Methodist Ch., 10 Shank Painter Rd.",7:00 - 8:00 a.m. and Noon-1 p.m.,Handicap Yes
OD,Mon,Provincetown, ,"St. Mary's, 519 Comm. St.",7:00-8:00 p.m.,Handicap Yes
OD,Mon,Quincy,Fort Sq. 11th Step,"Presbyterian Ch., 16 Pleasant",7-8 a.m.,Handicap Yes
OD,Mon,Quincy,Reality,"United Methodist Ch., 40 Beale St.",10 a.m., 
C12,Mon,Quincy,Steps To Serenity,"United Meth., 40 Beale St.",7 - 8 p.m., 
O,Mon,Quincy,Fresh Start,"Evan Ch. Of Atlantic, 65 Newbury Ave,",7:30 - 8:30 p.m.,Handicap Yes
O*,Mon,Quincy,Monday Night,"Presbyterian Ch., 16 Pleasant St.",8 p.m. Beg. 7 p.m.,Handicap Yes
CD,Mon,Raynham, ,"Stone Church, Rte. 104",9:30 a.m., 
O,Mon,Raynham,Don't Quit,"Gilmore Hall, Rte. 138",8:00 p.m., 
C12,Mon,Reading,Breath Of Life,"St. Agnes, 184 Woburn St.",12:30-1:30 p.m., 
O12,Mon,Rehoboth,Progress Not Perfection,139 Bay State Rd.,7-8 p.m.,Handicap Yes
C12,Mon,Rockland,Step,"1st Cong. Ch., Union & Church Sts.",8-9 p.m., 
OSD,Mon,Rockport, ,"Baptist Church, Broadway/Mt. Pleasant",NOON-1 p.m., 
OD,Mon,Rockport, ,"St. Mary's, 24 Broadway",7:30 p.m., 
OD,Mon,Roslindale,Beginners,"Bethany Church, 100 Cummings Highway",6:45 p.m., 
O,Mon,Roslindale, ,"Bethany Church, 100 Cummings Highway",8 - 9 p.m., 
OD,Mon,Roxbury,Dudley Square,"STEPRox, 9 Palmer St.",8:00 a.m., 
OD,Mon,Roxbury,Monday-StepRox,9 Palmer St.,10-11:30 a.m.,Handicap Yes
OD,Mon,Roxbury,Red Rd.-Natives in Rec.,"Tecumseh Hse., 107 Fisher Ave., ALL WEL.",6 p.m., 
C12M,Mon,Roxbury,Bottom Of Barrel,"MissionCh., Music Rm., 1545Tremont",8 p.m., 
C12,Mon,Salem,Another Chance,"St. James Chapel, 156 Federal St.",10-11:15 a.m.,Handicap Yes
C12,Mon,Salem,Back to Basics,"Beverly Coop Bk., 73 Lafayette St., Comm. Rm.",12:15 - 1:15, 
CD,Mon,Salem,Castle Hill Gratitude,"St. Ann's, 9 Cleveland St.",8:00 p.m., 
ODYP,Mon,Sandwich,Guardian Angel YP,"Ch. of Christ, 136 Main St., Side entrance",6:00 p.m., 
OBB,Mon,Sandwich,Village,"First Church, 136 Main St.",7:30 p.m., 
CMD,Mon,Saugus,Pirates Cove,"Step Program, 163 Hamilton St.",7-8 p.m.,Handicap Yes
CD,Mon,Scituate,Scituate Seaside,"St. Mary's Parish Hall, 1 EdwardFoster Rd.",8:30 - 9:30 am, 
OD,Mon,Sharon, ,"Lady Sorrows, 59 Cottage Street",10:30 a.m., 
OD,Mon,Sherborn,"Recovery, Unity & Service","Unitarian Ch., 11 Washington St.",7:30, 
C12,Mon,Shrewsbury,Eternal Vigilance,"Trinity Episcopal, 440 Main St.",7-8 a.m., 
CBB,Mon,So. Boston,Pilot House,"Task Force, 345 Old Colony Ave.",7:15 a.m., 
OD,Mon,So. Boston,Early Bird,"St. Monica's Hall, 331 Old Colony Ave.",7:30- 9 AM, 
OD,Mon,So. Boston,Keep The Spirit,"St. Monica's Ch. Hall, Side Dr, Old Col. Ave & Preble",11:30 a.m., 
O*,Mon,So. Boston,Mon. Nite,"Medicine Wheel Gallery, 110 K St., @ E. 1st.","7-8:00 p.m.,Beg 6 p.m.", 
O*,Mon,So. Boston,Off The Sauce,"St. Monica's, 331 Old colony Ave.",7:30-8:30 p.m.Beg.6:30 p.m., 
CD,Mon,So. Dennis, ,"Masonic Hall, Old Bass River Rd.",5:00-6:00 p.m.,Handicap Yes
O,Mon,Somerset,Retread,"Church of Savior, 2112 County St.",7:30 p.m., 
OSD,Mon,Somerville,Unity,"1st United Ch. of Christ, 89 College Ave.",7:30 p.m., 
O*,Mon,Somerville,Praying Hands,"Lions Club, 9 New Washington Street","7:30-8:30 pm, Beg. 6 - 7 p.m.", 
O,Mon,Spencer,Fellowship,"Congregational, Route 9",7:30 p.m., 
CD,Mon,Stoneham,2 for 1,"1st Baptist Ch., 457 Main St., Enter Hancock",1-2 pm, 
CBB,Mon,Stoneham,Friends Of Bill +Bob,"1st Cong. Ch., 1 Church St.",8-9 p.m., 
O*,Mon,Stoughton,Help Is Here,"United Meth., 103 Pleasant St.","8 p.m., 6:30 pm Beg.", 
C12,Mon,Stow,Back Door,"St. IsidoreCh., 429 Great Rd., Rte 117",7:30 p.m., 
OBB12M,Mon,Swampscott,N. Shore BBSS,"1st Cong. Ch., 40 Monument Ave., Rear",7:30 p.m., 
OBB,Mon,Tewksbury,Lighten Up,"Old Chapel, Tewksbury State Hosp.",Noon, 
OD,Mon,Tewksbury,Living Sober,"Hosp. Chapel, 365 East St.",7:30 - 8:30 p.m.,Handicap Yes
OD,Mon,W. Barnstable,Fellowship Works,"1717 Mtg. Hse. Ch., 2049 Mtg. Hse. Way",5:00 p.m., 
OD,Mon,W. Bridgewater,Just For Today,"24 S. Clubhouse, 320 W. Center St.",7 - 8 a.m., 
OSD,Mon,W. Bridgewater,Out to Lunch,"24 So. Clubhouse, 320 W. Center St.",Noon, 
OSD,Mon,W. Bridgewater,Daily Reflections,"Today Club House, 465 N. Main",5.30-6.30 p.m., 
O*,Mon,W. Bridgewater,Collegetown,"Cochesett Meth.,Rtes.106/24","7:30-8:30 pm,beg. 6:30-7:15P, O12", 
ODG,Mon,W. Bridgewater,Rainbow GLBT,"24 So. Clubhouse, 320 W. Center St.",8-9 p.m.,Handicap Yes
OD,Mon,W. Bridgewater,Joy In The Journey,"Today Club House, 465 N. Main",9-10 a.m., 
O,Mon,W. Falmouth, ,"Christ Lutheran, 485 Brick Kiln Rd.",8:00 p.m., 
C12,Mon,W. Groton,Steps Of Recovery,"Senior Ctr., 173 Main St.",7:30 p.m., 
C12,Mon,W. Roxbury, ,"St. Theresa's, School Cafe., St. Theresa Ave.",7:15-8:15 p.m., 
OD,Mon,Wakefield,Hiker Monument,"Congregational Church, 1 Church St.",7:30 p.m., 
O*,Mon,Walpole,United,"VFW, 108 Robbins Rd.","8 - 9 p.m., Beg. 6:30 - 7:30 p.m.", 
OD,Mon,Waltham,Day At A Time,"Presbyterian Ch., 34 Alder St.",NOON - 1:15 p.m., 
OD,Mon,Wareham,Here and Now,"Wesley United Meth. Ch., 462 Main St.",NOON - 1p.m.,Handicap Yes
O12,Mon,Wareham,It's Free Step Beginners,"1st. Cong. Ch., 5 Gibbs Ave.",6-7 p.m., 
O,Mon,Wareham,It's Free,"1st Cong. Ch., 5 Gibbs Ave., upstairs",7:30 - 8:30 p.m., 
OD,Mon,Wareham,There is Hope,"Wesley United Meth. Ch., 462 Main St.",7:30-8:30 a.m., 
C12M,Mon,Watertown,Catacombs,"Grace Vision Ch., 80 Mt. Auburn St.",7 p.m.,Handicap Yes
OD,Mon,Wellfleet,Out Of The Fog,"Methodist Ch., Main St.",8:00 p.m., 
C12W,Mon,Wenham,At Last,"First Ch., 1 Arbor St.",7:30 - 8:45 p.m., 
CBB,Mon,Westboro, ,"Kirkside House, 8 Church St.",7:30 p.m., 
OSD,Mon,Westford,Monday Night Live,"1st Parish Ch.United, 48 Main St.",7:30-8:30 PM, 
O,Mon,Weston, ,"St. Peter's Church, Rt. 20",8-9:00 p.m.,Handicap Yes
CD,Mon,Weymouth,Cancellation,"Old So. Union, Columbian Sq.",10:00 a.m.,Handicap Yes
O12,Mon,Weymouth,New Life Step,"U.U. Ch., Rte. 3A @ Sea St.",7:30 p.m., 
OBB,Mon,Weymouth,BB Workshop,"Nazarene Ch., 385 Ralph Talbot St.",7:30 - 8:45 p.m., 
O*,Mon,Weymouth,Old So. Union,"Church, Columbian Sq.","8 - 9 p.m., Beg. 7 p.m.",Handicap Yes
C12,Mon,Whitinsville,Step,"Trinity Ch., 31 Linwood Ave.",7:30 p.m., 
O,Mon,Winchendon, ,"Unitarian Church, 126 Central St.",8:00 p.m., 
O*,Mon,Winchester,Morningside,"Epis. Ch., 70 Church St..","7.30-8:30 p.m., Beg., 6-7 p.m.,", 
C12,Mon,Winthrop,Remember When,"St. John's, 222 Bowdoin",7:30 - 8:45 p.m., 
C,Mon,Woburn,Pick Of The Parish,"First Baptist, Winn, Main & Park Sts.",NOON, 
OD,Mon,Woburn,As Bill Sees It,"STEP Prog., 171 Old Cambridge Rd.",7 p.m.,Handicap Yes
CM,Mon,Woburn,Mens,"First Baptist, Winn, Main & Park Sts.",8:30 p.m., 
OD,Mon,Worcester,7A Group,107 Lincoln St.,7:00-8:00 a.m.,Handicap Yes
CD,Mon,Worcester, ,"695 Main St, 4th fl.",9:30 a.m.,Handicap Yes
OBB,Mon,Worcester,Big Book Workshop,"695 Main St., 4th Fl.",9:30 a.m., 
O12G,Mon,Worcester,Steps To Recovery,"St. Matthew's, 695 Southbridge St.",7:30 p.m., 
O,Mon,Worcester,Crozier,"St. Stephens, 357 Grafton St.",8 p.m., 
OSD,Tue,Abington,Early Bird Dawn Patrol,"United Church, Rte 18, 10 Bedford St.",7-8 a.m., 
C12,Tue,Acushnet,Road To Joy & Freedom,"Long Plain United Methodist Ch., 1215 Main St.",7 p.m., 
OD,Tue,Allston,Overdue,"Hill Memorial Ch., 279 N. Harvard",Noon-1 p.m., 
OD,Tue,Amesbury,What's Good About Today,"Unity on River, 58 Macy, Rte. 110",7-8 a.m., 
C12T,Tue,Amesbury,12 & 12,"Union Congregational Ch., 350 Main St.",7-8:15 p m.,Handicap Yes
O12,Tue,Andover,Freedom,"St. Augustine's, 43 Essex St.",7 - 8 :15 p.m., 
CD,Tue,Arlington,Just For Today,"St. Camillus, 1175 Concord Turnpike, Arlington",7-8 a.m.6 a.m.,Handicap Yes
O,Tue,Arlington, ,"St. Paul's Luth., 929 Concord Tumpike",7:30-8:30 p.m.,Handicap Yes
OBB12,Tue,Arlington,Big Book Step Study,Right Turn Group Conf. Rm. 299 Broadway,7:00 p.m., 
O,Tue,Athol,Orange,"Lady Immaculate, 244 School St.",8 p.m., 
OD,Tue,Attleboro,Keep Trying,"Advent Christian Ch., 560 Pleasant St.",Noon - 1p.m., 
OD,Tue,Attleboro,Desire to Stop,"Cameron Bldg., 68 Falmouth St.",Noon-1:00 p.m.,Handicap Yes
OSD,Tue,Attleboro,Spartans of Sobriety,"Cameron Bldg., 68 Falmouth St.",7-8:30 p.m., 
C12,Tue,Bedford,First Things First,"1st Ch. Christ, 25 Great Rd.",6:00-6:45 a.m., 
C12M,Tue,Bedford,Steppin On Up,"First Ch. Of Christ, 25 Great Rd.",6:45-7:45 p.m., 
OD,Tue,Bellingham,Beginners,"How It Works Club, 176 Mechanic St.",7-8 p.m., 
OSD,Tue,Belmont,Newcomers,"McLean Hosp., Demarneffe Bldg., Cafe.",8 p.m., 
C12,Tue,Beverly,Second Chance,"White Whale, 9 Hale St.",5:30-6:30 p.m., 
O,Tue,Beverly,Ray of Hope,"Methodist Ch., 2 Dane St.",7-8 p.m., 
CDW,Tue,Beverly Farms,Reflections,"St. John's Episcopal Ch., 705 Hale St.",NOON-1 p.m.,Handicap Yes
O,Tue,Billerica,Mid Day-Sober House,317 Boston Rd.,Noon - 1:00 p.m., 
CD,Tue,Billerica,KIS,"Cong. Ch., 18 Andover Rd.",8:00 p.m.,Handicap Yes
O12,Tue,Blackstone,12 Golden Steps,"St. Theresa, 630 Rathbun St.",12-1 p.m., 
O12,Tue,Boston,Rise & Shine,"St. Francis Hse. Shelter, 39 Boylston St.",7-8 a.m., 
OSD,Tue,Boston,Sahara Sunrise,"Harvard Vanguard, 147 Milk St., Conf. Rm. 1B",7:30-8:30 a.m., 
O12,Tue,Boston,Back Bay Steps,Arlington St. church,7:30 a.m., 
OD,Tue,Boston,No Name,"Arch St. Chapel, 100 Arch St.",NOON-1 p.m., 
OBB,Tue,Boston,Ashburton.Noon,Alley Next To 20 Ashburton Pl.,NOON-1 p.m., 
OD,Tue,Boston,Copley Noontime,"Trinity Ch., Claredon St., Ferris Library",Noon,Handicap Yes
OBB12,Tue,Boston,Original Recipe,"Harvard Vanguard, 147 Milk St. Rm. 1A",12:10-1 p.m., 
CD,Tue,Boston,Lunchtime,"BUMarsh Chapel, 735 Comm. Av., Marsh Rm.",1-2 p.m., 
CD,Tue,Boston,Lit. Disc.,"Central Service, 12 Channel St., Ste. 604 Marine Ind.Pk.",5:15-6:15 p.m., 
C12,Tue,Boston,Living Room 12 + 12,"Emmanuel Ch., 15 Newbury St.",5:30-6:30 p.m., 
C12W,Tue,Boston,Freedom From Bondage,"Paulist Center, Park St.",5:30-6:30 p.m., 
OSDG,Tue,Boston,Finally Tuesday,74 Kilmarnock St.,6:00 PM,Yes
ODYP,Tue,Boston,West End YP,"MGH, Yawkey Bldg., 2nd Fl., Rm. 230",6-7 p.m.,Handicap Yes
OBB,Tue,Boston,Keep It Simple,"Trinity Ch., 206 Clarendon St.",6:30-7:30 p.m., 
CBBM,Tue,Boston,86 It Big Book,"Our Ladies of Victories, 27 Isabella St.",6:30-7:30 p.m., 
O,Tue,Boston,The Not Forgotten,"Vets Shelter, 17 Court St., 1st Fl.",6:45-7:45 p.m., 
CBB,Tue,Boston,Freedom,"Sacred Heart, 9 Suncourt at North St.",7:00 p.m., 
OD,Tue,Boston,Double Winners,"Haley House, 23 Dartmouth St.",7-8 p.m., 
OBB,Tue,Boston,Keep It Simple,"Trinity Ch., 206 Claredon St.",6:30 - 7:30 p.m., 
O,Tue,Boston,Fellowship,"Old South Ch., 645 Boylston St.",7:30-8:30 p.m., 
O12G,Tue,Boston,Jay Walkers,"Our Ladies of Victories, 27 Isabella St",8-9 pm, 
O*,Tue,Boston,Crossroads,"Ch/Covenant, 67 Newbury, downstairs",8:30 - 9:30 p.m., 
O,Tue,Bourne,Head of the Bay,"United Methodist Ch., 37 Sandwich Rd",8 p.m., 
OBB,Tue,Braintree,Big Book,"St. Thomas More, 8 Hawthorne Rd.",10:00 a.m., 
O,Tue,Braintree,30-60-90,"Emerald Hall, Bay State Park, Bay State Rd.",7:30 p.m.,Handicap Yes
O,Tue,Braintree,Union,"Congregational, 74 Commercial St., Wey. Land.",7:30 - 8:30 p.m., 
O,Tue,Braintree, ,"All Soul's, 196 Elm Street",8 p.m.,Handicap Yes
OD,Tue,Brewster,Grateful Living,"United Meth. Ch., 701 Airline Rd.",7:15 a.m.,Handicap Yes
OD,Tue,Brewster,5 Alive,"Club Dry Dock, 1439 Main St., Rte. 6A",5 p.m., 
CD,Tue,Bridgewater,Living Sober,"United Methodist Ch., 35 School St.",Noon - 1p.m., 
OSD,Tue,Bridgewater,Collegetown Disc,"United Methodist, 35 School St.",7-8 p.m., 
O,Tue,Brighton,Allston/Brighton Tue. Night,"Charlesview Apts., 123 Antwerp St., Comm. Rm.",8 p.m., 
OD,Tue,Brockton,New Hope,"Prince of Peace Ch., 906 N. Main St.",10:00 a.m., 
CW12,Tue,Brockton,Women's Sharing,"E. Martin Hse., 678 No. Main St.",6-7 p.m.,Handicap Yes
O,Tue,Brockton,New Blood,"1st Evangelical Lutheran, 900 Main St.",7:00 p.m., 
OD,Tue,Brookline,Discussion,"United Parish, 210 Harvard St.",NOON, 
C12,Tue,Brookline,Steps By The Book,"Ch. of Savior, 25 Monmouth St.",7-8 p.m., 
O*,Tue,Brookline, ,"Presbyterian, 32 Harvard St.","8-9 p.m., Beg. 6:45 p.m.", 
OSD,Tue,Byfield,WACO,"Methodist, 6 Central Street, Downstairs",7:30-9:00 p.m., 
C12W,Tue,Cambridge,Morning Glories,"First Cong'l, 11 Garden St.",7:00-8:00 a.m., 
CDM,Tue,Cambridge,Hair Of The Dog,"Christ Ch., 0 Garden St.",7:30-8:15 a.m., 
OSD,Tue,Cambridge,Kendall Sq.,"MIT Medical Bldg, E-23 Rm 364, 25 Carleton St.",12:10-1 p.m.,Handicap Yes
OD,Tue,Cambridge,Courage to Change,"Quaker House, 5 Longfellow Place",7-8 p.m.,Handicap Yes
OSD,Tue,Cambridge,As We Understood,"Christ Ch., 0 Garden St., Quilt Rm.",7-8 p.m., 
C12M,Tue,Canton,Clean House 12 & 12,"Trinity Epis., 1 Blue Hill River Rd.",8 p.m., 
C12,Tue,Carver,12+12,"Vine Ch., 5 Wareham St.",8 p.m., 
ODG,Tue,Cataumet,U.C.L.&G.,"Methodist Ch., Old Country Rd.",7 p.m., 
OD,Tue,Centerville,Hour Of Power,"Our Lady, 230 S. Main St.",7:30-8:30 a.m., 
OD,Tue,Charlestown,DAAT,586 Rutherford Ave.,NOON-1 p.m.,Handicap Yes
C12M,Tue,Charlestown,The Searchers,586 Rutherford Ave.,7-8 pm, 
CBB,Tue,Charlestown,"Big Book, Alcohol Only","Mary Colbert Apts., 20 Devon St.",8:15-9:30 p.m., 
C12,Tue,Chelmsford,Early Risers,St. John's CCD Bldg.,6:45 a.m.-7:45 a.m.,Handicap Yes
O12,Tue,Chelmsford,Step of the Month,Central Baptist on Common,12:15-1:15 p.m., 
O12G,Tue,Chelmsford,Simply Steps,"Unitarian Univ., Central Square",7:00 p.m., 
O,Tue,Chelmsford,North,"Congregational, Vinal Sq., Rt. 3A",7:30 p.m., 
OD,Tue,Clinton,Keep The Faith,"A.I.R,256 High St.",NOON, 
O,Tue,Clinton,Shamrock,"Presbyterian Ch., 169 Chestnut St.",8:30-9:30 p.m., 
CD,Tue,Cohasset, ,"St. Stephen's, 16 Highland Ave.",8:00 p.m., 
O12,Tue,Concord,Sobah Camel,"Monument Hall, 62 Monument Sq.",1-Dec,Handicap Yes
OSD,Tue,Danvers,Eye Opener,"All Saints Epis., Holten St., Front Door",7-8 a.m., 
O12*,Tue,Danvers,Road To Recovery,"All Saints Epis., Holten St.","NOON-1 p.m., 11-11:45 am", 
CSD,Tue,Danvers,Happy Hour,"1st Ch. Of Danvers, 41 Centre St.",4:30 - 5:30 p.m., 
OSDWYP,Tue,Dedham,The Real Thing,"St. Mary Assumption Ch., 420 High St.",7:30-8:30 p.m., 
C12,Tue,Dedham,Green Lodge,"Good Shepherd Ch., 60 Cedar St.",7:30 p.m., 
CD,Tue,Dedham,Gateway,"Unitarian Ch., 670 High St",10:00 a.m., 
OD,Tue,Dennis,Honesty Beginners,"Carleton Hall, 1006 Old Bass River Rd.",6:45-7:45 p.m., 
OBBSS,Tue,Dennisport,Tue,"New Life church, 486 Main St., Rte 28",7:00 PM, 
CDW,Tue,Dighton,Women's Step to Recovery,"Council Hall, 1111 Somerset Ave.",6:30 -7:30 p.m.,Handicap Yes
CWD,Tue,Dorchester,But for the Grace of God,Carney Hospital,7 p.m., 
OBBM,Tue,Dorchester,Living Room Tue,"Christ Community Ch., 51 Walnut St.",7-8:15 p.m., 
O,Tue,Dorchester,Meetinghouse Hill,"First Parish Church, 10 Parish St.",7:00 p.m., 
CM12,Tue,Dorchester,No Name,"Carney Hosp., 2100 Dorchester Ave.",7:30 p.m.,Handicap Yes
SD,Tue,Dracut,Sobriety 101,"Ste. Marguerite d'Youville, 1340 Lakeview Ave.",Noon, 
C12,Tue,Eastham,Nauset,"Methodist, Route #6A",8 p.m.,Handicap Yes
OD,Tue,Essex, ,"St. John Baptist, 52 Main St.",8-9:30 p.m., 
O*,Tue,Everett, ,"Immaculate Conception Parish Hall, Summer",7:30 p.m. (beg. 6 pm), 
OD,Tue,Fairhaven,First Aid,"St. Mary's Ch. Rec. Base., 440 Main St.",7 p.m., 
OBB12,Tue,Fairhaven,There Is A Solution,"Trinity Luth., 16 Temple Pl.",7-8:30 p.m., 
OD,Tue,Fall River,S.O.S.,"1st Baptist Ch., 228 N. Main St.",11:45-12:45 p.m., 
OD,Tue,Fall River,Turn It Over,"1st Baptist, 228 N. Main",5:30-6:45 p.m., 
C12,Tue,Fall River, ,"Union Meth., 600 Highland Ave.",6:30-7:30 p.m.,Handicap Yes
OD,Tue,Falmouth,Each Day a New Beginning,"Wesley Methodist, 270 Gifford St.",7-8 a.m., 
OD,Tue,Falmouth,Discussion,"St. Patricks, 511 Main St.",Noon - 1 p.m., 
O,Tue,Falmouth,Power of Example,"Church of Nazarene, 292 Brick Kiln Rd.",7-8 p.m., 
OD,Tue,Fitchburg,Keep It Simple,"Faith United ch., 820 Main St.",NOON-1 p.m., 
C12,Tue,Fitchburg, ,"Ch. Of Good Shepard, 10 Wachusett St.",7-8:15 p.m., 
OSD,Tue,Fitchburg,Newman Group,"Emanuel Lutheran Ch., 1200 Fitch Hwy",7-8 PM, 
O12,Tue,Foxboro,Daily Winners,"Community Ctr., 382 South St.,",NOON-1 p.m., 
C12W,Tue,Foxboro,Step Sisters,"Luth. Ch. of Redeem., 212 Main St., Rte 140",7-8 p.m., 
OD,Tue,Framingham,Reflections,"Dennison Bldg., 300 Howard St.",7-8 a.m., 
OD,Tue,Framingham,Daily,"Drop-In Center, Kendall St.",NOON - 1 p.m., 
OD,Tue,Framingham,Sunshine,"Ply. Congregational, 87 Edgell",12:15 p.m., 
CW12,Tue,Framingham,Step Sisters,"Plymouth Ch., Kellogg Rm., 87 Edgell Rd.",6:30-7:30 p.m., 
C12,Tue,Framingham,Pass It On,"Drop In Center, 62A Kendall St.",7:30 - 8:30 p.m., 
OSD,Tue,Gardner,Mid Day,205 School St,12:30 - 1:30 pm,Handicap Yes
OD,Tue,Gardner,As Bill Sees It,"Heywood Hosp., 250 Green St",7:30 - 8:30 p.m., 
OD,Tue,Gloucester,Cape Ann Early Bird,"Baptist Ch., 38 Gloucester Ave.",7-8 a.m., 
OSDYP,Tue,Gloucester, ,"Trinity Church, 70 Middle St.",7:00-8:00 p.m., 
OD,Tue,Grafton,Easy Duz It,"Unitarian, Route 140",Beginners: 6:30 p.m., 
O,Tue,Groton,Easy Does It,"First Parish Ch., Main St.",7:30 p.m. - 8:30 p.m.,Handicap Yes
C12W,Tue,Hanson,Step By Step,"Bryantville Methodist Ch., 546 Mattakeeset St.",7:30 p.m.,Handicap Yes
O12,Tue,Haverhill,New Jericho Noontime,"Safe Haven, 127 How St",NOON-1 p.m.,Handicap Yes
OD,Tue,Haverhill,New Hope Beg.,"Whittier Pavillion, 76 Summer St.",6:45 - 7:45 p.m.,H
O12T,Tue,Haverhill,Sane And Sober,"Unit. Univ., 16 Ashland St., Lower Level",7-8 p.m., 
CWBB,Tue,Haverhill,There Is A Solution,"W. Cong. Ch., 767 Broadway",7-8 p.m.,Handicap Yes
OBB,Tue,Haverhill,Willing to Change,"All Saints Ch., 120 Bellevue Ave.",8:30 - 9:30 p.m.,Handicap Yes
CB,Tue,Hingham,New Day,"Lutheran Ch., 916 Main St., Rte 228",7:30 a.m.,Handicap Yes
ODM,Tue,Holliston,Reality,"Christ the King Lutheran, 600 Central St.",7:30 p.m., 
C12,Tue,Hopkinton,"Easier, Softer Way","Cong. Ch.,146 E. Main St.",7:30-8:30 p.m., 
O,Tue,Hopkinton,Barber Shop,"St. John's Evan., 20 Church St.",8-9 p.m.,Handicap Yes
OD,Tue,Hudson,Time To Talk,"United Meth., 34 Felton St.",7:30-8:30 p.m., 
O*,Tue,Hull,End of the Line,"Gould Hall, 128 Spring Street","7:30-8:30 p.m., Beg. 6:30 p.m.", 
OD,Tue,Hull,Summer Only,"Burke Bathhouse, 116 Hull Shore Dr.",8:30-9:30 a.m., 
OD,Tue,Hyde Park,Constant Vigilance,"Readville K of C Hall., 12 Wolcott Ct.",11:00 a.m., 
OBB,Tue,Ipswich,Bookin' It,"Baptist Ch., 45 Central St",7:30 - 8:30 pm, 
O12,Tue,Jamaica Plain,Beginners 12 Step,"Shattuck Hosp., Turville Conf. Rm.",7:30-8:30 p.m.,Handicap Yes
CDGM,Tue,Jamaica Plain,Speak Freely,"Farnsworth Hse., 90 South St.",7:30-8:30 p.m.,Handicap Yes
CBB,Tue,Jamaica Plain,Into Action,"St. John's Ch., Revere and Roanoke Sts.",7:30-8:30 p.m., 
OD,Tue,Kingston,Early Bird Gratitude,"VCF Ch., 8 Hilltop Rd.",7-8 a.m., 
OSD,Tue,Kingston,Beginners,"Beal Meeting House, 224 Main Street",7:30 p.m.,Handicap Yes
OSD,Tue,Lawrence,New Beginnings,"Riverside Ch., 290 Water St.",10:30-11:30 a.m.,Handicap Yes
OD,Tue,Lawrence,Just for Today,"599 Canal St., 5th Fl., Ste. West 2",noon - 1 pm,Handicap Yes
OD,Tue,Leominster,Eyeopener,"St. Mark's Youth Center, Cotton St.",8-9 a.m., 
OD,Tue,Leominster,High Noon,"Unitarian Universalist Ch., 15 West St.",NOON, 
OSDW,Tue,Leominster,Harmony,"St. Leo's Sch. Hall, Rte. 12",7:30 p.m., 
OBB12,Tue,Leominster,BB Step Study,"United Methodist Ch., 77 Hall St.",7:30 p.m., 
O,Tue,Leominster,Common,"Unitarian Church, 15 West Street",7:45 p.m., 
OD,Tue,Lexington,Sober by Grace,"2 Militia Dr., Rm G-5",6:30-7:30 a.m.,Handicap Yes
CBB,Tue,Lexington,Big Book,"1st Bap., 1580 Mass. Ave.",12-1:00 p.m., 
ODYP,Tue,Lexington,Never Too Young,"Church of Redeemer, 6 Meriam St.",7:30 - 8:30 p.m.,handicap Yes
C12W,Tue,Lexington,Women's Step,"1st Fl. Methodist Ch., 2600 Mass Ave.",7:30-8:30 p.m., 
O12,Tue,Lowell,New Last Gaspers,"St. Anthony's Sch., 908 Central, downstairs",Noon-1 p.m., 
CSD,Tue,Lowell,Spark of Hope Alcohol Only,"St. Rita's Shrine Basement, Mammoth Road",NOON,Handicap Yes
ODNS,Tue,Lowell,Screwy Twoey,"Shelter, 189 Middlesex St",2-3 p.m., 
O12,Tue,Lowell,All Souls 1 2 3,"Mercier Ctr., 21 Salem St.",6:30-7:30 p.m., 
O12,Tue,Lowell,Back to Basics,"Lowell House, 102 Appleton St",7-8 p.m., 
CBB12M,Tue,Lowell,Men's BB Step Study,"Eliot Presbyterian Ch., 273 Summer St.",7:30 p.m., 
OD,Tue,Lynn,Recovery,"Lynn Art, 25 Exchange St., Rear",7 a.m., 
CSD,Tue,Lynn,Center,"Life Point Ch., 10 Baltimore St.E1056",11-Noon, 
CSD,Tue,Lynn,TWT,"1st Ch., of Nazarene, 233 Eastern Ave.",11:30 a.m.-12:30 p.m., 
CD,Tue,Lynn,Do It Sober,"Life Point Ch., 10 Baltimore St.",4-5 p.m., 
C12,Tue,Lynn,Union Steps,"First Ch. of Christ, 678 Lynnfield St.",7-8 p.m., 
C12,Tue,Lynn,Awareness,"Senior Services, 8 Silsbee St.",8 p.m.,Handicap Yes
O12,Tue,Lynnfield,Birds Of A Feather,"St. Maria Goretti Ch., 112 Chestnut St.",7:30-8:30 p.m., 
CD,Tue,Malden,B.Y.O.C.,"Club 24, 787 Salem St.",7-8 a.m., 
OSD,Tue,Malden,Noontime,"Club 24, 787 Salem St.",NOON-1 p.m., 
OD,Tue,Malden,Happy Hour,"Club 24, 787 Salem St.",4-5 p.m., 
